"id","name","race","effect"
306,"Bloo's Kloos","indica","Creative"
306,"Bloo's Kloos","indica","Relaxed"
306,"Bloo's Kloos","indica","Happy"
306,"Bloo's Kloos","indica","Euphoric"
306,"Bloo's Kloos","indica","Focused"
306,"Bloo's Kloos","indica","Pain"
306,"Bloo's Kloos","indica","Stress"
306,"Bloo's Kloos","indica","Cramps"
306,"Bloo's Kloos","indica","Eye Pressure"
306,"Bloo's Kloos","indica","Inflammation"
307,"Bloodhound","hybrid","Happy"
307,"Bloodhound","hybrid","Relaxed"
307,"Bloodhound","hybrid","Hungry"
307,"Bloodhound","hybrid","Talkative"
307,"Bloodhound","hybrid","Focused"
307,"Bloodhound","hybrid","Stress"
307,"Bloodhound","hybrid","Depression"
307,"Bloodhound","hybrid","Fatigue"
307,"Bloodhound","hybrid","Headaches"
307,"Bloodhound","hybrid","Lack of Appetite"
307,"Bloodhound","hybrid","Dry Eyes"
308,"Blowfish","hybrid","Relaxed"
308,"Blowfish","hybrid","Happy"
308,"Blowfish","hybrid","Uplifted"
308,"Blowfish","hybrid","Euphoric"
308,"Blowfish","hybrid","Sleepy"
308,"Blowfish","hybrid","Pain"
308,"Blowfish","hybrid","Insomnia"
308,"Blowfish","hybrid","Stress"
308,"Blowfish","hybrid","Muscle Spasms"
308,"Blowfish","hybrid","Nausea"
308,"Blowfish","hybrid","Dry Mouth"
308,"Blowfish","hybrid","Headache"
309,"Blucifer","sativa","Happy"
309,"Blucifer","sativa","Uplifted"
309,"Blucifer","sativa","Focused"
309,"Blucifer","sativa","Relaxed"
309,"Blucifer","sativa","Creative"
309,"Blucifer","sativa","Pain"
309,"Blucifer","sativa","Depression"
309,"Blucifer","sativa","Headaches"
309,"Blucifer","sativa","Lack of Appetite"
309,"Blucifer","sativa","Nausea"
309,"Blucifer","sativa","Dry Eyes"
310,"Blue Afghani","indica","Uplifted"
310,"Blue Afghani","indica","Relaxed"
310,"Blue Afghani","indica","Happy"
310,"Blue Afghani","indica","Euphoric"
310,"Blue Afghani","indica","Sleepy"
310,"Blue Afghani","indica","Depression"
310,"Blue Afghani","indica","Lack of Appetite"
310,"Blue Afghani","indica","Headaches"
310,"Blue Afghani","indica","Fatigue"
310,"Blue Afghani","indica","Nausea"
310,"Blue Afghani","indica","Dry Mouth"
310,"Blue Afghani","indica","Dry Eyes"
311,"Blue Alien","indica","Relaxed"
311,"Blue Alien","indica","Sleepy"
311,"Blue Alien","indica","Euphoric"
311,"Blue Alien","indica","Dry Mouth"
311,"Blue Alien","indica","Hungry"
311,"Blue Alien","indica","Pain"
311,"Blue Alien","indica","Stress"
311,"Blue Alien","indica","Insomnia"
311,"Blue Alien","indica","Fatigue"
311,"Blue Alien","indica","Inflammation"
311,"Blue Alien","indica","Dry Eyes"
311,"Blue Alien","indica","Dry Mouth"
311,"Blue Alien","indica","Paranoid"
312,"Blue Bastard","indica","Euphoric"
312,"Blue Bastard","indica","Happy"
312,"Blue Bastard","indica","Sleepy"
312,"Blue Bastard","indica","Uplifted"
312,"Blue Bastard","indica","Creative"
312,"Blue Bastard","indica","Stress"
312,"Blue Bastard","indica","Insomnia"
312,"Blue Bastard","indica","Pain"
312,"Blue Bastard","indica","Depression"
312,"Blue Bastard","indica","Muscle Spasms"
312,"Blue Bastard","indica","Dry Mouth"
312,"Blue Bastard","indica","Dry Eyes"
312,"Blue Bastard","indica","Dizzy"
312,"Blue Bastard","indica","Headache"
312,"Blue Bastard","indica","Paranoid"
313,"Blue Bayou","sativa","Giggly"
313,"Blue Bayou","sativa","Uplifted"
313,"Blue Bayou","sativa","Creative"
313,"Blue Bayou","sativa","Happy"
313,"Blue Bayou","sativa","Hungry"
313,"Blue Bayou","sativa","Nausea"
313,"Blue Bayou","sativa","Stress"
313,"Blue Bayou","sativa","Depression"
313,"Blue Bayou","sativa","Headache"
313,"Blue Bayou","sativa","Paranoid"
313,"Blue Bayou","sativa","Dry Eyes"
313,"Blue Bayou","sativa","Dry Mouth"
314,"Blue Blood","indica","Relaxed"
314,"Blue Blood","indica","Sleepy"
314,"Blue Blood","indica","Euphoric"
314,"Blue Blood","indica","Happy"
314,"Blue Blood","indica","Creative"
314,"Blue Blood","indica","Stress"
314,"Blue Blood","indica","Inflammation"
314,"Blue Blood","indica","Muscle Spasms"
314,"Blue Blood","indica","Pain"
314,"Blue Blood","indica","Depression"
315,"Blue Boy","hybrid","Creative"
315,"Blue Boy","hybrid","Happy"
315,"Blue Boy","hybrid","Uplifted"
315,"Blue Boy","hybrid","Talkative"
315,"Blue Boy","hybrid","Giggly"
315,"Blue Boy","hybrid","Stress"
315,"Blue Boy","hybrid","Pain"
315,"Blue Boy","hybrid","Depression"
315,"Blue Boy","hybrid","Muscle Spasms"
315,"Blue Boy","hybrid","Fatigue"
315,"Blue Boy","hybrid","Dry Mouth"
315,"Blue Boy","hybrid","Dry Eyes"
315,"Blue Boy","hybrid","Headache"
315,"Blue Boy","hybrid","Anxious"
315,"Blue Boy","hybrid","Paranoid"
316,"Blue Buddha","indica","Creative"
316,"Blue Buddha","indica","Dry Eyes"
316,"Blue Buddha","indica","Happy"
316,"Blue Buddha","indica","Relaxed"
316,"Blue Buddha","indica","Depression"
316,"Blue Buddha","indica","Headaches"
316,"Blue Buddha","indica","Insomnia"
316,"Blue Buddha","indica","Lack of Appetite"
316,"Blue Buddha","indica","Seizures"
317,"Blue Champagne","hybrid","Happy"
317,"Blue Champagne","hybrid","Euphoric"
317,"Blue Champagne","hybrid","Uplifted"
317,"Blue Champagne","hybrid","Energetic"
317,"Blue Champagne","hybrid","Creative"
317,"Blue Champagne","hybrid","Pain"
317,"Blue Champagne","hybrid","Stress"
317,"Blue Champagne","hybrid","Depression"
317,"Blue Champagne","hybrid","Lack of Appetite"
317,"Blue Champagne","hybrid","Cramps"
317,"Blue Champagne","hybrid","Paranoid"
317,"Blue Champagne","hybrid","Anxious"
317,"Blue Champagne","hybrid","Dry Mouth"
317,"Blue Champagne","hybrid","Dry Eyes"
317,"Blue Champagne","hybrid","Dizzy"
318,"Blue Cheese","indica","Relaxed"
318,"Blue Cheese","indica","Happy"
318,"Blue Cheese","indica","Euphoric"
318,"Blue Cheese","indica","Sleepy"
318,"Blue Cheese","indica","Uplifted"
318,"Blue Cheese","indica","Stress"
318,"Blue Cheese","indica","Pain"
318,"Blue Cheese","indica","Insomnia"
318,"Blue Cheese","indica","Depression"
318,"Blue Cheese","indica","Lack of Appetite"
318,"Blue Cheese","indica","Dry Mouth"
318,"Blue Cheese","indica","Dry Eyes"
318,"Blue Cheese","indica","Dizzy"
318,"Blue Cheese","indica","Paranoid"
318,"Blue Cheese","indica","Headache"
319,"Blue Cinex","hybrid","Focused"
319,"Blue Cinex","hybrid","Happy"
319,"Blue Cinex","hybrid","Uplifted"
319,"Blue Cinex","hybrid","Energetic"
319,"Blue Cinex","hybrid","Creative"
319,"Blue Cinex","hybrid","Depression"
319,"Blue Cinex","hybrid","Stress"
319,"Blue Cinex","hybrid","Fatigue"
319,"Blue Cinex","hybrid","Pain"
319,"Blue Cinex","hybrid","Inflammation"
320,"Blue Cookies","hybrid","Relaxed"
320,"Blue Cookies","hybrid","Euphoric"
320,"Blue Cookies","hybrid","Happy"
320,"Blue Cookies","hybrid","Uplifted"
320,"Blue Cookies","hybrid","Creative"
320,"Blue Cookies","hybrid","Stress"
320,"Blue Cookies","hybrid","Depression"
320,"Blue Cookies","hybrid","Pain"
320,"Blue Cookies","hybrid","Insomnia"
320,"Blue Cookies","hybrid","Lack of Appetite"
320,"Blue Cookies","hybrid","Dry Mouth"
320,"Blue Cookies","hybrid","Dizzy"
320,"Blue Cookies","hybrid","Dry Eyes"
320,"Blue Cookies","hybrid","Anxious"
320,"Blue Cookies","hybrid","Paranoid"
321,"Blue Crack","hybrid","Focused"
321,"Blue Crack","hybrid","Happy"
321,"Blue Crack","hybrid","Energetic"
321,"Blue Crack","hybrid","Talkative"
321,"Blue Crack","hybrid","Relaxed"
321,"Blue Crack","hybrid","Depression"
321,"Blue Crack","hybrid","Stress"
321,"Blue Crack","hybrid","Fatigue"
321,"Blue Crack","hybrid","Pain"
321,"Blue Crack","hybrid","Headaches"
321,"Blue Crack","hybrid","Dry Mouth"
321,"Blue Crack","hybrid","Dry Eyes"
321,"Blue Crack","hybrid","Dizzy"
321,"Blue Crack","hybrid","Anxious"
321,"Blue Crack","hybrid","Paranoid"
322,"Blue Diamond","indica","Euphoric"
322,"Blue Diamond","indica","Relaxed"
322,"Blue Diamond","indica","Uplifted"
322,"Blue Diamond","indica","Happy"
322,"Blue Diamond","indica","Sleepy"
322,"Blue Diamond","indica","Stress"
322,"Blue Diamond","indica","Eye Pressure"
322,"Blue Diamond","indica","Headaches"
322,"Blue Diamond","indica","Depression"
322,"Blue Diamond","indica","Pain"
322,"Blue Diamond","indica","Anxious"
322,"Blue Diamond","indica","Paranoid"
322,"Blue Diamond","indica","Dry Eyes"
322,"Blue Diamond","indica","Dry Mouth"
322,"Blue Diamond","indica","Headache"
323,"Blue Diesel","hybrid","Relaxed"
323,"Blue Diesel","hybrid","Happy"
323,"Blue Diesel","hybrid","Uplifted"
323,"Blue Diesel","hybrid","Euphoric"
323,"Blue Diesel","hybrid","Creative"
323,"Blue Diesel","hybrid","Stress"
323,"Blue Diesel","hybrid","Pain"
323,"Blue Diesel","hybrid","Inflammation"
323,"Blue Diesel","hybrid","Depression"
323,"Blue Diesel","hybrid","Fatigue"
323,"Blue Diesel","hybrid","Dry Mouth"
323,"Blue Diesel","hybrid","Dry Eyes"
323,"Blue Diesel","hybrid","Dizzy"
323,"Blue Diesel","hybrid","Headache"
323,"Blue Diesel","hybrid","Paranoid"
324,"Blue Dot","sativa","Uplifted"
324,"Blue Dot","sativa","Energetic"
324,"Blue Dot","sativa","Relaxed"
324,"Blue Dot","sativa","Happy"
324,"Blue Dot","sativa","Focused"
324,"Blue Dot","sativa","Stress"
324,"Blue Dot","sativa","Pain"
324,"Blue Dot","sativa","Depression"
324,"Blue Dot","sativa","Fatigue"
324,"Blue Dot","sativa","Nausea"
324,"Blue Dot","sativa","Headache"
324,"Blue Dot","sativa","Dry Mouth"
325,"Blue Dragon","hybrid","Happy"
325,"Blue Dragon","hybrid","Euphoric"
325,"Blue Dragon","hybrid","Relaxed"
325,"Blue Dragon","hybrid","Uplifted"
325,"Blue Dragon","hybrid","Tingly"
325,"Blue Dragon","hybrid","Stress"
325,"Blue Dragon","hybrid","Pain"
325,"Blue Dragon","hybrid","Depression"
325,"Blue Dragon","hybrid","Nausea"
325,"Blue Dragon","hybrid","Lack of Appetite"
325,"Blue Dragon","hybrid","Dry Mouth"
325,"Blue Dragon","hybrid","Dry Eyes"
325,"Blue Dragon","hybrid","Dizzy"
325,"Blue Dragon","hybrid","Headache"
325,"Blue Dragon","hybrid","Paranoid"
326,"Blue Dream","hybrid","Happy"
326,"Blue Dream","hybrid","Relaxed"
326,"Blue Dream","hybrid","Uplifted"
326,"Blue Dream","hybrid","Euphoric"
326,"Blue Dream","hybrid","Creative"
326,"Blue Dream","hybrid","Stress"
326,"Blue Dream","hybrid","Depression"
326,"Blue Dream","hybrid","Pain"
326,"Blue Dream","hybrid","Headaches"
326,"Blue Dream","hybrid","Fatigue"
326,"Blue Dream","hybrid","Dry Mouth"
326,"Blue Dream","hybrid","Dry Eyes"
326,"Blue Dream","hybrid","Paranoid"
326,"Blue Dream","hybrid","Dizzy"
326,"Blue Dream","hybrid","Anxious"
327,"Blue Dynamite","indica","Relaxed"
327,"Blue Dynamite","indica","Sleepy"
327,"Blue Dynamite","indica","Happy"
327,"Blue Dynamite","indica","Euphoric"
327,"Blue Dynamite","indica","Dry Mouth"
327,"Blue Dynamite","indica","Pain"
327,"Blue Dynamite","indica","Stress"
327,"Blue Dynamite","indica","Insomnia"
327,"Blue Dynamite","indica","Depression"
327,"Blue Dynamite","indica","Lack of Appetite"
327,"Blue Dynamite","indica","Dry Mouth"
327,"Blue Dynamite","indica","Dry Eyes"
327,"Blue Dynamite","indica","Dizzy"
327,"Blue Dynamite","indica","Paranoid"
